phrase	lemmas	pos	example	source_urls	noun_score
cognitive dissonance	cognitive dissonance	ADJ,NOUN	In this chapter, we discuss the intrapersonal processes of self-presentation, cognitive dissonance and attitude change, and the interpersonal processes of conformity and obedience, aggression and altruism, and, finally, love and attraction.	https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-summary	1.000
openstax book title	openstax book title	NOUN,NOUN,NOUN	Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/11-introduction Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/11-introduction Contact Us Support Center FAQ Press Newsletter Careers Accessibility Statement Terms of Use Licensing Privacy Policy 11.1 What Is Personality?	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	1.000
commons attribution	common attribution	NOUN,NOUN	This book uses the Creative Commons Attribution License and you must attribute OpenStax.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	1.000
attribution license	attribution license	NOUN,NOUN	This book uses the Creative Commons Attribution License and you must attribute OpenStax.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	1.000
openstax's permission	openstax 's permission	NOUN,PART,NOUN	This book may not be used in the training of large language models or otherwise be ingested into large language models or generative AI offerings without OpenStax's permission.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	1.000
educational access	educational access	ADJ,NOUN	Introduction Chapter Outline Our mission is to improve educational access and learning for everyone.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	1.000
attribution access	attribution access	NOUN,NOUN			1.000
houston texas book	houston texas book	PROPN,PROPN,PROPN			1.000
personality traits	personality trait	NOUN,NOUN	Hippocrates theorized that personality traits and human behaviors are based on four separate temperaments associated with four fluids (“humors”) of the body: choleric temperament (yellow bile from the liver), melancholic temperament (black bile from the kidneys), sanguine temperament (red blood from the heart), and phlegmatic temperament (white phlegm from the lungs) (Clark & Watson, 2008; Eysenck & Eysenck, 1985; Lecci & Magnavita, 2013; Noga, 2007).	https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-key-terms	1.000
publisher website	publisher website	NOUN,NOUN			1.000
openstax policies	openstax policy	NOUN,NOUN			1.000
social psychology	social psychology	ADJ,NOUN	As you will learn when you study social psychology, Asian cultures are more collectivist, and people in these cultures tend to be less extroverted.	https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-summary	1.000
creative commons	creative common	ADJ,NOUN	This book uses the Creative Commons Attribution License and you must attribute OpenStax.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	1.000
textbook content	textbook content	NOUN,NOUN	Textbook content produced by OpenStax is licensed under a Creative Commons Attribution License .	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	1.000
spielman william	spielman william	NOUN,PROPN			1.000
lovett publisher	lovett publisher	PROPN,NOUN	Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/11-introduction Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/11-introduction Contact Us Support Center FAQ Press Newsletter Careers Accessibility Statement Terms of Use Licensing Privacy Policy 11.1 What Is Personality?	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	1.000
website openstax	website openstax	NOUN,NOUN			1.000
title psychology	title psychology	NOUN,NOUN			1.000
