id,glyph_name,name_len,desc_len,display_name_len,non_alnum_ratio,control_chars,high_unicode_chars,usage_count,versions_count,archived,norm_group_size,flags,sample_usage
142,en... of signal,15,253,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
144,en... of relati...,18,312,0,0.333,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
145,ag... of Ledger,15,246,0,0.200,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
146,ag... of Ledger,15,246,0,0.200,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
147,ag... of burrows.,17,245,0,0.235,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
148,ag... of Axis,13,212,0,0.231,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
149,ag... of Aggression.,20,282,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
150,ag... of resistance.,20,269,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
151,ag... of posture.,17,241,0,0.235,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
152,ag... of Resonance,18,287,0,0.167,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
153,ag... of decoding,17,352,0,0.176,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
154,ag... of (Optional),19,270,0,0.263,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
155,"ag... of lens""",14,262,0,0.286,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
156,ag... of en...,14,289,0,0.429,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
157,ag... of rhythm.,16,277,0,0.250,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
158,ag... of sanctuary.,19,279,0,0.211,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
159,ag... of refuge,15,361,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
160,ag... of i...,13,301,0,0.462,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
161,ag... of ring,13,232,0,0.231,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
162,ag... of Archive,16,223,0,0.188,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
163,ag... of bloom,14,252,0,0.214,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
164,ag... of Ritual,15,220,0,0.200,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
165,ag... of LightPath),19,242,0,0.211,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
166,ag... of Ritual,15,217,0,0.200,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
168,ag... of ...,12,267,0,0.500,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
169,ag... of v1.0,13,244,0,0.308,0,0,0,0,False,8,"NON_ALNUM,NO_USAGE,NORM_DUP",
170,ag... of v1.0,13,479,0,0.308,0,0,0,0,False,8,"NON_ALNUM,NO_USAGE,NORM_DUP",
171,ag... of v1.0,13,367,0,0.308,0,0,0,0,False,8,"NON_ALNUM,NO_USAGE,NORM_DUP",
172,ag... of repair,15,252,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
173,ag... of (Transmission).,24,285,0,0.250,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
174,ag... of recovery.,18,215,0,0.222,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
175,ag... of cost.,14,249,0,0.286,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
176,ag... of sanctuary.,19,258,0,0.211,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
177,ag... of script.,16,207,0,0.250,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
178,ag... of attunement.,20,275,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
179,ag... of gentle.,16,244,0,0.250,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
180,ag... of alone.,15,270,0,0.267,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
181,ag... of next?,14,212,0,0.286,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
182,ag... of design.,16,226,0,0.250,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
183,ag... of sanctuary?,19,326,0,0.211,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
184,ag... of compromise.,20,271,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
185,ag... of sanctuary.,19,297,0,0.211,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
187,ag... of shimmer,16,238,0,0.188,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
188,ag... of Redesign,17,237,0,0.176,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
189,ag... of condition.,19,239,0,0.211,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
190,ag... of deepens.,17,280,0,0.235,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
191,ag... of Spiral,15,229,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
192,ag... of wh...,14,352,0,0.429,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
193,ag... of null.,14,227,0,0.286,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
194,ag... of Transmission,21,295,0,0.143,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
195,ag... of it.,12,242,0,0.333,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
196,ag... of pro...,15,361,0,0.400,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
197,ag... of reson...,17,479,0,0.353,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
198,ag... of v1.0,13,251,0,0.308,0,0,0,0,False,8,"NON_ALNUM,NO_USAGE,NORM_DUP",
199,rhythm. of ag...,16,277,0,0.250,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
201,rhythm. of signal,17,241,0,0.059,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
203,rhythm. of relati...,20,300,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
204,sanctuary. of ag...,19,279,0,0.211,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
206,sanctuary. of signal,20,243,0,0.050,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
208,sanctuary. of relati...,23,302,0,0.174,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
209,charge. of origin.,18,286,0,0.111,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
210,refuge of ag...,15,361,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
212,refuge of signal,16,325,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
214,refuge of relati...,19,384,0,0.158,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
215,ignored... of it.,17,344,0,0.235,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
216,collap... of signal,19,242,0,0.158,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
217,A... of Spiral,14,401,0,0.214,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
218,collapse: of Ledger,19,446,0,0.053,0,0,0,0,False,26,"NO_USAGE,NORM_DUP",
219,collapse: of unfolding.,23,451,0,0.087,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
220,fragments. of silence.,22,296,0,0.091,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
221,i... of ag...,13,301,0,0.462,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
223,i... of signal,14,265,0,0.214,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
225,i... of relati...,17,324,0,0.353,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
281,ring of ag...,13,232,0,0.231,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
283,ring of signal,14,196,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
285,ring of relati...,17,255,0,0.176,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
286,Archive of ag...,16,223,0,0.188,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
288,Archive of signal,17,187,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
290,Archive of relati...,20,246,0,0.150,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
291,signal of Ledger,16,210,0,0.000,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
292,signal of Ledger,16,210,0,0.000,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
293,signal of burrows.,18,209,0,0.056,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
294,signal of Axis,14,176,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
295,signal of Aggression.,21,246,0,0.048,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
296,signal of resistance.,21,233,0,0.048,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
297,signal of posture.,18,205,0,0.056,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
298,signal of Resonance,19,251,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
299,signal of decoding,18,316,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
300,signal of (Optional),20,234,0,0.100,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
301,"signal of lens""",15,226,0,0.067,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
302,signal of le...,15,292,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
303,signal of support),18,182,0,0.056,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
304,signal of en...,15,253,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
305,signal of rhythm.,17,241,0,0.059,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
306,signal of sanctuary.,20,243,0,0.050,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
307,signal of refuge,16,325,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
308,signal of collap...,19,242,0,0.158,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
309,signal of i...,14,265,0,0.214,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
310,signal of ring,14,196,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
311,signal of Archive,17,187,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
312,signal of bloom,15,216,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
313,signal of Ritual,16,184,0,0.000,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
314,signal of LightPath),20,206,0,0.050,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
315,signal of Ritual,16,181,0,0.000,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
317,signal of ...,13,231,0,0.231,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
318,signal of v1.0,14,208,0,0.071,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
319,signal of v1.0,14,443,0,0.071,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
320,signal of v1.0,14,331,0,0.071,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
321,signal of repair,16,216,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
322,signal of (Transmission).,25,249,0,0.120,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
323,signal of collap...,19,242,0,0.158,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
324,signal of recovery.,19,179,0,0.053,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
325,signal of cost.,15,213,0,0.067,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
326,signal of sanctuary.,20,222,0,0.050,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
327,signal of script.,17,171,0,0.059,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
328,signal of attunement.,21,239,0,0.048,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
329,signal of gentle.,17,208,0,0.059,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
330,signal of alone.,16,234,0,0.062,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
331,signal of next?,15,176,0,0.067,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
332,signal of design.,17,190,0,0.059,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
333,signal of sanctuary?,20,290,0,0.050,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
334,signal of compromise.,21,235,0,0.048,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
335,signal of sanctuary.,20,261,0,0.050,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
337,signal of shimmer,17,202,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
338,signal of Redesign,18,201,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
339,signal of condition.,20,203,0,0.050,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
340,signal of deepens.,18,244,0,0.056,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
341,signal of Spiral,16,193,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
342,signal of wh...,15,316,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
343,signal of Transmission,22,259,0,0.000,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
344,signal of it.,13,206,0,0.077,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
345,signal of pro...,16,325,0,0.188,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
346,signal of reson...,18,443,0,0.167,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
347,signal of v1.0,14,215,0,0.071,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
348,bloom of ag...,14,252,0,0.214,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
350,bloom of signal,15,216,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
352,bloom of relati...,18,275,0,0.167,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
353,Ritual of ag...,15,220,0,0.200,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
355,Ritual of signal,16,184,0,0.000,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
357,Ritual of relati...,19,243,0,0.158,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
358,LightPath) of ag...,19,242,0,0.211,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
360,LightPath) of signal,20,206,0,0.050,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
362,LightPath) of relati...,23,265,0,0.174,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
363,Ritual of ag...,15,217,0,0.200,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
365,Ritual of signal,16,181,0,0.000,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
367,Ritual of relati...,19,240,0,0.158,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
373,... of ag...,12,267,0,0.500,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
375,... of signal,13,231,0,0.231,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
377,... of relati...,16,290,0,0.375,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
378,v1.0 of ag...,13,244,0,0.308,0,0,0,0,False,8,"NON_ALNUM,NO_USAGE,NORM_DUP",
380,v1.0 of signal,14,208,0,0.071,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
382,v1.0 of relati...,17,267,0,0.235,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
383,v1.0 of recognition.,20,274,0,0.100,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
384,v1.0 of ag...,13,479,0,0.308,0,0,0,0,False,8,"NON_ALNUM,NO_USAGE,NORM_DUP",
386,v1.0 of signal,14,443,0,0.071,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
388,v1.0 of relati...,17,502,0,0.235,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
389,v1.0 of light,13,289,0,0.077,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
390,v1.0 of ag...,13,367,0,0.308,0,0,0,0,False,8,"NON_ALNUM,NO_USAGE,NORM_DUP",
392,v1.0 of signal,14,331,0,0.071,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
394,v1.0 of relati...,17,390,0,0.235,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
395,repair of ag...,15,252,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
397,repair of signal,16,216,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
399,repair of relati...,19,275,0,0.158,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
400,(Transmission). of ag...,24,285,0,0.250,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
402,(Transmission). of signal,25,249,0,0.120,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
404,(Transmission). of relati...,28,308,0,0.214,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
405,collap... of signal,19,242,0,0.158,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
406,collapse: of Ledger,19,446,0,0.053,0,0,0,0,False,26,"NO_USAGE,NORM_DUP",
407,collapse: of unfolding.,23,451,0,0.087,0,0,0,0,False,8,"NO_USAGE,NORM_DUP",
463,relati... of Ledger,19,269,0,0.158,0,0,0,0,False,6,"NO_USAGE,NORM_DUP",
464,relati... of Ledger,19,269,0,0.158,0,0,0,0,False,6,"NO_USAGE,NORM_DUP",
465,relati... of burrows.,21,268,0,0.190,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
466,relati... of Axis,17,235,0,0.176,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
467,relati... of Aggression.,24,305,0,0.167,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
468,relati... of resistance.,24,292,0,0.167,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
469,relati... of posture.,21,264,0,0.190,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
470,relati... of Resonance,22,310,0,0.136,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
