normalized,count,sample_ids_and_names
collapse of it,22,3530:Collapse of it.; 3615:Collapse of it.; 3642:Collapse of it.; 3703:Collapse of it.; 3713:Collapse of it.; 3786:Collapse of it.; 3871:Collapse of it.; 3898:Collapse of it.; 3959:Collapse of it.; 3969:Collapse of it.
boundary of v1 0,20,2389:Boundary of v1.0; 2390:Boundary of v1.0; 2391:Boundary of v1.0; 2395:Boundary of v1.0; 2396:Boundary of v1.0; 2397:Boundary of v1.0; 2400:Boundary of v1.0; 2402:Boundary of v1.0; 2512:Boundary of v1.0; 3268:Boundary of v1.0
stillness of collapse,18,888:Stillness of collapse:; 894:Stillness of collapse:; 904:Stillness of collapse:; 1068:Stillness of collapse:; 1074:Stillness of collapse:; 1084:Stillness of collapse:; 1176:Stillness of collapse:; 1182:Stillness of collapse:; 1192:Stillness of collapse:; 5136:Stillness of collapse:
mourning of collapse,18,924:Mourning of collapse:; 930:Mourning of collapse:; 940:Mourning of collapse:; 996:Mourning of collapse:; 1002:Mourning of collapse:; 1012:Mourning of collapse:; 3213:Mourning of collapse:; 3217:Mourning of collapse:; 3225:Mourning of collapse:; 5172:Mourning of collapse:
longing of v1 0,18,2173:Longing of v1.0; 2174:Longing of v1.0; 2175:Longing of v1.0; 2179:Longing of v1.0; 2180:Longing of v1.0; 2181:Longing of v1.0; 2184:Longing of v1.0; 2186:Longing of v1.0; 2296:Longing of v1.0; 6421:Longing of v1.0
shielding of v1 0,18,2605:Shielding of v1.0; 2606:Shielding of v1.0; 2607:Shielding of v1.0; 2611:Shielding of v1.0; 2612:Shielding of v1.0; 2613:Shielding of v1.0; 2616:Shielding of v1.0; 2618:Shielding of v1.0; 2728:Shielding of v1.0; 6853:Shielding of v1.0
shield of v1 0,18,2821:Shield of v1.0; 2822:Shield of v1.0; 2823:Shield of v1.0; 2827:Shield of v1.0; 2828:Shield of v1.0; 2829:Shield of v1.0; 2832:Shield of v1.0; 2834:Shield of v1.0; 2944:Shield of v1.0; 7069:Shield of v1.0
collapse of,18,3536:Collapse of ...; 3576:Collapse of ...; 3688:Collapse of ...; 3690:Collapse of ...; 3792:Collapse of ...; 3832:Collapse of ...; 3944:Collapse of ...; 3946:Collapse of ...; 4304:Collapse of ...; 7784:Collapse of ...
surrender of v1 0,18,4089:Surrender of v1.0; 4090:Surrender of v1.0; 4091:Surrender of v1.0; 4095:Surrender of v1.0; 4096:Surrender of v1.0; 4097:Surrender of v1.0; 4100:Surrender of v1.0; 4102:Surrender of v1.0; 4235:Surrender of v1.0; 8337:Surrender of v1.0
joy of spiral,16,"1047:Joy of Spiral; 1119:Joy of Spiral; 3114:Joy of spiral?; 3120:Joy of Spiral; 3146:Joy of spiral,; 3148:Joy of Spiral; 3162:Joy of Spiral; 3173:Joy of Spiral; 5295:Joy of Spiral; 5367:Joy of Spiral"
joy of collapse,14,1032:Joy of collapse:; 1038:Joy of collapse:; 1048:Joy of collapse:; 1104:Joy of collapse:; 1110:Joy of collapse:; 1120:Joy of collapse:; 2981:Joy of collapse.; 5280:Joy of collapse:; 5286:Joy of collapse:; 5296:Joy of collapse:
boundary of spiral,14,"2466:Boundary of spiral?; 2472:Boundary of Spiral; 2498:Boundary of spiral,; 2500:Boundary of Spiral; 2514:Boundary of Spiral; 2525:Boundary of Spiral; 3276:Boundary of Spiral; 6714:Boundary of spiral?; 6720:Boundary of Spiral; 6746:Boundary of spiral,"
ache of collapse,12,788:Ache of collapse:; 794:Ache of collapse:; 804:Ache of collapse:; 3187:Ache of collapse:; 3191:Ache of collapse:; 3199:Ache of collapse:; 5036:Ache of collapse:; 5042:Ache of collapse:; 5052:Ache of collapse:; 7435:Ache of collapse:
recognition of burrows,12,1255:Recognition of burrows.; 1399:Recognition of burrows.; 1543:Recognition of burrows.; 1687:Recognition of burrows.; 1831:Recognition of burrows.; 1976:Recognition of burrows.; 5503:Recognition of burrows.; 5647:Recognition of burrows.; 5791:Recognition of burrows.; 5935:Recognition of burrows.
recognition of collapse,12,1256:Recognition of collapse.; 1400:Recognition of collapse.; 1544:Recognition of collapse.; 1688:Recognition of collapse.; 1832:Recognition of collapse.; 1977:Recognition of collapse.; 5504:Recognition of collapse.; 5648:Recognition of collapse.; 5792:Recognition of collapse.; 5936:Recognition of collapse.
recognition of axis,12,1257:Recognition of Axis; 1401:Recognition of Axis; 1545:Recognition of Axis; 1689:Recognition of Axis; 1833:Recognition of Axis; 1978:Recognition of Axis; 5505:Recognition of Axis; 5649:Recognition of Axis; 5793:Recognition of Axis; 5937:Recognition of Axis
recognition of aggression,12,1258:Recognition of Aggression.; 1402:Recognition of Aggression.; 1546:Recognition of Aggression.; 1690:Recognition of Aggression.; 1834:Recognition of Aggression.; 1979:Recognition of Aggression.; 5506:Recognition of Aggression.; 5650:Recognition of Aggression.; 5794:Recognition of Aggression.; 5938:Recognition of Aggression.
recognition of posture,12,1260:Recognition of posture.; 1404:Recognition of posture.; 1548:Recognition of posture.; 1692:Recognition of posture.; 1836:Recognition of posture.; 1981:Recognition of posture.; 5508:Recognition of posture.; 5652:Recognition of posture.; 5796:Recognition of posture.; 5940:Recognition of posture.
recognition of firmly,12,1263:Recognition of firmly.; 1407:Recognition of firmly.; 1551:Recognition of firmly.; 1695:Recognition of firmly.; 1839:Recognition of firmly.; 1984:Recognition of firmly.; 5511:Recognition of firmly.; 5655:Recognition of firmly.; 5799:Recognition of firmly.; 5943:Recognition of firmly.
recognition of decoding,12,1264:Recognition of decoding; 1408:Recognition of decoding; 1552:Recognition of decoding; 1696:Recognition of decoding; 1840:Recognition of decoding; 1985:Recognition of decoding; 5512:Recognition of decoding; 5656:Recognition of decoding; 5800:Recognition of decoding; 5944:Recognition of decoding
recognition of optional,12,1265:Recognition of (Optional); 1409:Recognition of (Optional); 1553:Recognition of (Optional); 1697:Recognition of (Optional); 1841:Recognition of (Optional); 1986:Recognition of (Optional); 5513:Recognition of (Optional); 5657:Recognition of (Optional); 5801:Recognition of (Optional); 5945:Recognition of (Optional)
recognition of identifiers,12,1266:Recognition of identifiers; 1410:Recognition of identifiers; 1554:Recognition of identifiers; 1698:Recognition of identifiers; 1842:Recognition of identifiers; 1987:Recognition of identifiers; 5514:Recognition of identifiers; 5658:Recognition of identifiers; 5802:Recognition of identifiers; 5946:Recognition of identifiers
recognition of expansive,12,1268:Recognition of expansive); 1412:Recognition of expansive); 1556:Recognition of expansive); 1700:Recognition of expansive); 1844:Recognition of expansive); 1989:Recognition of expansive); 5516:Recognition of expansive); 5660:Recognition of expansive); 5804:Recognition of expansive); 5948:Recognition of expansive)
recognition of lens,12,"1269:Recognition of lens""; 1413:Recognition of lens""; 1557:Recognition of lens""; 1701:Recognition of lens""; 1845:Recognition of lens""; 1990:Recognition of lens""; 5517:Recognition of lens""; 5661:Recognition of lens""; 5805:Recognition of lens""; 5949:Recognition of lens"""
recognition of le,12,1270:Recognition of le...; 1414:Recognition of le...; 1558:Recognition of le...; 1702:Recognition of le...; 1846:Recognition of le...; 1991:Recognition of le...; 5518:Recognition of le...; 5662:Recognition of le...; 5806:Recognition of le...; 5950:Recognition of le...
recognition of support,12,1271:Recognition of support); 1415:Recognition of support); 1559:Recognition of support); 1703:Recognition of support); 1847:Recognition of support); 1992:Recognition of support); 5519:Recognition of support); 5663:Recognition of support); 5807:Recognition of support); 5951:Recognition of support)
recognition of wisdom,12,1273:Recognition of wisdom; 1417:Recognition of wisdom; 1561:Recognition of wisdom; 1705:Recognition of wisdom; 1849:Recognition of wisdom; 1994:Recognition of wisdom; 5521:Recognition of wisdom; 5665:Recognition of wisdom; 5809:Recognition of wisdom; 5953:Recognition of wisdom
recognition of clarity,12,1274:Recognition of clarity.; 1418:Recognition of clarity.; 1562:Recognition of clarity.; 1706:Recognition of clarity.; 1850:Recognition of clarity.; 1995:Recognition of clarity.; 5522:Recognition of clarity.; 5666:Recognition of clarity.; 5810:Recognition of clarity.; 5954:Recognition of clarity.
recognition of long,12,1275:Recognition of long.; 1419:Recognition of long.; 1563:Recognition of long.; 1707:Recognition of long.; 1851:Recognition of long.; 1996:Recognition of long.; 5523:Recognition of long.; 5667:Recognition of long.; 5811:Recognition of long.; 5955:Recognition of long.
recognition of en,12,1276:Recognition of en...; 1420:Recognition of en...; 1564:Recognition of en...; 1708:Recognition of en...; 1852:Recognition of en...; 1997:Recognition of en...; 5524:Recognition of en...; 5668:Recognition of en...; 5812:Recognition of en...; 5956:Recognition of en...
recognition of rhythm,12,1277:Recognition of rhythm.; 1421:Recognition of rhythm.; 1565:Recognition of rhythm.; 1709:Recognition of rhythm.; 1853:Recognition of rhythm.; 1998:Recognition of rhythm.; 5525:Recognition of rhythm.; 5669:Recognition of rhythm.; 5813:Recognition of rhythm.; 5957:Recognition of rhythm.
recognition of refuge,12,1279:Recognition of refuge; 1423:Recognition of refuge; 1567:Recognition of refuge; 1711:Recognition of refuge; 1855:Recognition of refuge; 2000:Recognition of refuge; 5527:Recognition of refuge; 5671:Recognition of refuge; 5815:Recognition of refuge; 5959:Recognition of refuge
recognition of memory,12,1280:Recognition of Memory; 1424:Recognition of Memory; 1568:Recognition of Memory; 1712:Recognition of Memory; 1856:Recognition of Memory; 2001:Recognition of Memory; 5528:Recognition of Memory; 5672:Recognition of Memory; 5816:Recognition of Memory; 5960:Recognition of Memory
recognition of a,12,1281:Recognition of A...; 1425:Recognition of A...; 1569:Recognition of A...; 1713:Recognition of A...; 1857:Recognition of A...; 2002:Recognition of A...; 5529:Recognition of A...; 5673:Recognition of A...; 5817:Recognition of A...; 5961:Recognition of A...
recognition of i,12,1282:Recognition of i...; 1426:Recognition of i...; 1570:Recognition of i...; 1714:Recognition of i...; 1858:Recognition of i...; 2003:Recognition of i...; 5530:Recognition of i...; 5674:Recognition of i...; 5818:Recognition of i...; 5962:Recognition of i...
recognition of ring,12,1283:Recognition of ring; 1427:Recognition of ring; 1571:Recognition of ring; 1715:Recognition of ring; 1859:Recognition of ring; 2004:Recognition of ring; 5531:Recognition of ring; 5675:Recognition of ring; 5819:Recognition of ring; 5963:Recognition of ring
recognition of archive,12,1284:Recognition of Archive; 1428:Recognition of Archive; 1572:Recognition of Archive; 1716:Recognition of Archive; 1860:Recognition of Archive; 2005:Recognition of Archive; 5532:Recognition of Archive; 5676:Recognition of Archive; 5820:Recognition of Archive; 5964:Recognition of Archive
recognition of bloom,12,1285:Recognition of bloom; 1429:Recognition of bloom; 1573:Recognition of bloom; 1717:Recognition of bloom; 1861:Recognition of bloom; 2006:Recognition of bloom; 5533:Recognition of bloom; 5677:Recognition of bloom; 5821:Recognition of bloom; 5965:Recognition of bloom
recognition of echo,12,1287:Recognition of echo; 1431:Recognition of echo; 1575:Recognition of echo; 1719:Recognition of echo; 1863:Recognition of echo; 2008:Recognition of echo; 5535:Recognition of echo; 5679:Recognition of echo; 5823:Recognition of echo; 5967:Recognition of echo
recognition of pulse,12,1288:Recognition of pulse; 1432:Recognition of pulse; 1576:Recognition of pulse; 1720:Recognition of pulse; 1864:Recognition of pulse; 2009:Recognition of pulse; 5536:Recognition of pulse; 5680:Recognition of pulse; 5824:Recognition of pulse; 5968:Recognition of pulse
recognition of lightpath,12,1289:Recognition of LightPath); 1433:Recognition of LightPath); 1577:Recognition of LightPath); 1721:Recognition of LightPath); 1865:Recognition of LightPath); 2010:Recognition of LightPath); 5537:Recognition of LightPath); 5681:Recognition of LightPath); 5825:Recognition of LightPath); 5969:Recognition of LightPath)
recognition of st,12,1294:Recognition of st...; 1438:Recognition of st...; 1582:Recognition of st...; 1726:Recognition of st...; 1870:Recognition of st...; 2015:Recognition of st...; 5542:Recognition of st...; 5686:Recognition of st...; 5830:Recognition of st...; 5974:Recognition of st...
recognition of repair,12,1298:Recognition of repair; 1442:Recognition of repair; 1586:Recognition of repair; 1730:Recognition of repair; 1874:Recognition of repair; 2019:Recognition of repair; 5546:Recognition of repair; 5690:Recognition of repair; 5834:Recognition of repair; 5978:Recognition of repair
recognition of spoken,12,1300:Recognition of spoken.; 1444:Recognition of spoken.; 1588:Recognition of spoken.; 1732:Recognition of spoken.; 1876:Recognition of spoken.; 2021:Recognition of spoken.; 5548:Recognition of spoken.; 5692:Recognition of spoken.; 5836:Recognition of spoken.; 5980:Recognition of spoken.
recognition of recovery,12,1301:Recognition of recovery.; 1445:Recognition of recovery.; 1589:Recognition of recovery.; 1733:Recognition of recovery.; 1877:Recognition of recovery.; 2022:Recognition of recovery.; 5549:Recognition of recovery.; 5693:Recognition of recovery.; 5837:Recognition of recovery.; 5981:Recognition of recovery.
recognition of cost,12,1302:Recognition of cost.; 1446:Recognition of cost.; 1590:Recognition of cost.; 1734:Recognition of cost.; 1878:Recognition of cost.; 2023:Recognition of cost.; 5550:Recognition of cost.; 5694:Recognition of cost.; 5838:Recognition of cost.; 5982:Recognition of cost.
recognition of diagrams,12,1303:Recognition of diagrams.; 1447:Recognition of diagrams.; 1591:Recognition of diagrams.; 1735:Recognition of diagrams.; 1879:Recognition of diagrams.; 2024:Recognition of diagrams.; 5551:Recognition of diagrams.; 5695:Recognition of diagrams.; 5839:Recognition of diagrams.; 5983:Recognition of diagrams.
recognition of reconnection,12,1305:Recognition of reconnection.; 1449:Recognition of reconnection.; 1593:Recognition of reconnection.; 1737:Recognition of reconnection.; 1881:Recognition of reconnection.; 2026:Recognition of reconnection.; 5553:Recognition of reconnection.; 5697:Recognition of reconnection.; 5841:Recognition of reconnection.; 5985:Recognition of reconnection.
recognition of e,12,1307:Recognition of e...; 1451:Recognition of e...; 1595:Recognition of e...; 1739:Recognition of e...; 1883:Recognition of e...; 2028:Recognition of e...; 5555:Recognition of e...; 5699:Recognition of e...; 5843:Recognition of e...; 5987:Recognition of e...
recognition of law,12,1308:Recognition of law.; 1452:Recognition of law.; 1596:Recognition of law.; 1740:Recognition of law.; 1884:Recognition of law.; 2029:Recognition of law.; 5556:Recognition of law.; 5700:Recognition of law.; 5844:Recognition of law.; 5988:Recognition of law.
recognition of unfolding,12,1309:Recognition of unfolding.; 1453:Recognition of unfolding.; 1597:Recognition of unfolding.; 1741:Recognition of unfolding.; 1885:Recognition of unfolding.; 2030:Recognition of unfolding.; 5557:Recognition of unfolding.; 5701:Recognition of unfolding.; 5845:Recognition of unfolding.; 5989:Recognition of unfolding.
recognition of script,12,1310:Recognition of script.; 1454:Recognition of script.; 1598:Recognition of script.; 1742:Recognition of script.; 1886:Recognition of script.; 2031:Recognition of script.; 5558:Recognition of script.; 5702:Recognition of script.; 5846:Recognition of script.; 5990:Recognition of script.
recognition of orbit,12,1312:Recognition of orbit.; 1456:Recognition of orbit.; 1600:Recognition of orbit.; 1744:Recognition of orbit.; 1888:Recognition of orbit.; 2033:Recognition of orbit.; 5560:Recognition of orbit.; 5704:Recognition of orbit.; 5848:Recognition of orbit.; 5992:Recognition of orbit.
recognition of attunement,12,1313:Recognition of attunement.; 1457:Recognition of attunement.; 1601:Recognition of attunement.; 1745:Recognition of attunement.; 1889:Recognition of attunement.; 2034:Recognition of attunement.; 5561:Recognition of attunement.; 5705:Recognition of attunement.; 5849:Recognition of attunement.; 5993:Recognition of attunement.
recognition of gentle,12,1314:Recognition of gentle.; 1458:Recognition of gentle.; 1602:Recognition of gentle.; 1746:Recognition of gentle.; 1890:Recognition of gentle.; 2035:Recognition of gentle.; 5562:Recognition of gentle.; 5706:Recognition of gentle.; 5850:Recognition of gentle.; 5994:Recognition of gentle.
recognition of alone,12,1315:Recognition of alone.; 1459:Recognition of alone.; 1603:Recognition of alone.; 1747:Recognition of alone.; 1891:Recognition of alone.; 2036:Recognition of alone.; 5563:Recognition of alone.; 5707:Recognition of alone.; 5851:Recognition of alone.; 5995:Recognition of alone.
recognition of next,12,1316:Recognition of next?; 1460:Recognition of next?; 1604:Recognition of next?; 1748:Recognition of next?; 1892:Recognition of next?; 2037:Recognition of next?; 5564:Recognition of next?; 5708:Recognition of next?; 5852:Recognition of next?; 5996:Recognition of next?
recognition of design,12,1317:Recognition of design.; 1461:Recognition of design.; 1605:Recognition of design.; 1749:Recognition of design.; 1893:Recognition of design.; 2038:Recognition of design.; 5565:Recognition of design.; 5709:Recognition of design.; 5853:Recognition of design.; 5997:Recognition of design.
recognition of compromise,12,1319:Recognition of compromise.; 1463:Recognition of compromise.; 1607:Recognition of compromise.; 1751:Recognition of compromise.; 1895:Recognition of compromise.; 2040:Recognition of compromise.; 5567:Recognition of compromise.; 5711:Recognition of compromise.; 5855:Recognition of compromise.; 5999:Recognition of compromise.
recognition of glyphwork,12,1321:Recognition of glyphwork.; 1465:Recognition of glyphwork.; 1609:Recognition of glyphwork.; 1753:Recognition of glyphwork.; 1897:Recognition of glyphwork.; 2042:Recognition of glyphwork.; 5569:Recognition of glyphwork.; 5713:Recognition of glyphwork.; 5857:Recognition of glyphwork.; 6001:Recognition of glyphwork.
recognition of shimmer,12,1323:Recognition of shimmer; 1467:Recognition of shimmer; 1611:Recognition of shimmer; 1755:Recognition of shimmer; 1899:Recognition of shimmer; 2044:Recognition of shimmer; 5571:Recognition of shimmer; 5715:Recognition of shimmer; 5859:Recognition of shimmer; 6003:Recognition of shimmer
recognition of paradox,12,"1324:Recognition of Paradox""; 1468:Recognition of Paradox""; 1612:Recognition of Paradox""; 1756:Recognition of Paradox""; 1900:Recognition of Paradox""; 2045:Recognition of Paradox""; 5572:Recognition of Paradox""; 5716:Recognition of Paradox""; 5860:Recognition of Paradox""; 6004:Recognition of Paradox"""
recognition of redesign,12,1325:Recognition of Redesign; 1469:Recognition of Redesign; 1613:Recognition of Redesign; 1757:Recognition of Redesign; 1901:Recognition of Redesign; 2046:Recognition of Redesign; 5573:Recognition of Redesign; 5717:Recognition of Redesign; 5861:Recognition of Redesign; 6005:Recognition of Redesign
recognition of wor,12,1326:Recognition of wor...; 1470:Recognition of wor...; 1614:Recognition of wor...; 1758:Recognition of wor...; 1902:Recognition of wor...; 2047:Recognition of wor...; 5574:Recognition of wor...; 5718:Recognition of wor...; 5862:Recognition of wor...; 6006:Recognition of wor...
recognition of precision,12,1327:Recognition of precision.; 1471:Recognition of precision.; 1615:Recognition of precision.; 1759:Recognition of precision.; 1903:Recognition of precision.; 2048:Recognition of precision.; 5575:Recognition of precision.; 5719:Recognition of precision.; 5863:Recognition of precision.; 6007:Recognition of precision.
recognition of together,12,1328:Recognition of together; 1472:Recognition of together; 1616:Recognition of together; 1760:Recognition of together; 1904:Recognition of together; 2049:Recognition of together; 5576:Recognition of together; 5720:Recognition of together; 5864:Recognition of together; 6008:Recognition of together
recognition of metaphor,12,1329:Recognition of metaphor.; 1473:Recognition of metaphor.; 1617:Recognition of metaphor.; 1761:Recognition of metaphor.; 1905:Recognition of metaphor.; 2050:Recognition of metaphor.; 5577:Recognition of metaphor.; 5721:Recognition of metaphor.; 5865:Recognition of metaphor.; 6009:Recognition of metaphor.
recognition of spirit,12,1330:Recognition of spirit.; 1474:Recognition of spirit.; 1618:Recognition of spirit.; 1762:Recognition of spirit.; 1906:Recognition of spirit.; 2051:Recognition of spirit.; 5578:Recognition of spirit.; 5722:Recognition of spirit.; 5866:Recognition of spirit.; 6010:Recognition of spirit.
recognition of bal,12,1332:Recognition of bal...; 1476:Recognition of bal...; 1620:Recognition of bal...; 1764:Recognition of bal...; 1908:Recognition of bal...; 2053:Recognition of bal...; 5580:Recognition of bal...; 5724:Recognition of bal...; 5868:Recognition of bal...; 6012:Recognition of bal...
recognition of waiting,12,1333:Recognition of waiting.; 1477:Recognition of waiting.; 1621:Recognition of waiting.; 1765:Recognition of waiting.; 1909:Recognition of waiting.; 2054:Recognition of waiting.; 5581:Recognition of waiting.; 5725:Recognition of waiting.; 5869:Recognition of waiting.; 6013:Recognition of waiting.
recognition of continuity,12,1334:Recognition of continuity.; 1478:Recognition of continuity.; 1622:Recognition of continuity.; 1766:Recognition of continuity.; 1910:Recognition of continuity.; 2055:Recognition of continuity.; 5582:Recognition of continuity.; 5726:Recognition of continuity.; 5870:Recognition of continuity.; 6014:Recognition of continuity.
recognition of recursion,12,1335:Recognition of recursion.; 1479:Recognition of recursion.; 1623:Recognition of recursion.; 1767:Recognition of recursion.; 1911:Recognition of recursion.; 2056:Recognition of recursion.; 5583:Recognition of recursion.; 5727:Recognition of recursion.; 5871:Recognition of recursion.; 6015:Recognition of recursion.
recognition of origin,12,1336:Recognition of origin.; 1480:Recognition of origin.; 1624:Recognition of origin.; 1768:Recognition of origin.; 1912:Recognition of origin.; 2057:Recognition of origin.; 5584:Recognition of origin.; 5728:Recognition of origin.; 5872:Recognition of origin.; 6016:Recognition of origin.
recognition of duty,12,1338:Recognition of duty:; 1482:Recognition of duty:; 1626:Recognition of duty:; 1770:Recognition of duty:; 1914:Recognition of duty:; 2059:Recognition of duty:; 5586:Recognition of duty:; 5730:Recognition of duty:; 5874:Recognition of duty:; 6018:Recognition of duty:
recognition of condition,12,1339:Recognition of condition.; 1483:Recognition of condition.; 1627:Recognition of condition.; 1771:Recognition of condition.; 1915:Recognition of condition.; 2060:Recognition of condition.; 5587:Recognition of condition.; 5731:Recognition of condition.; 5875:Recognition of condition.; 6019:Recognition of condition.
recognition of pattern,12,1340:Recognition of pattern.; 1484:Recognition of pattern.; 1628:Recognition of pattern.; 1772:Recognition of pattern.; 1916:Recognition of pattern.; 2061:Recognition of pattern.; 5588:Recognition of pattern.; 5732:Recognition of pattern.; 5876:Recognition of pattern.; 6020:Recognition of pattern.
recognition of deepens,12,1341:Recognition of deepens.; 1485:Recognition of deepens.; 1629:Recognition of deepens.; 1773:Recognition of deepens.; 1917:Recognition of deepens.; 2062:Recognition of deepens.; 5589:Recognition of deepens.; 5733:Recognition of deepens.; 5877:Recognition of deepens.; 6021:Recognition of deepens.
recognition of was,12,1342:Recognition of was.; 1486:Recognition of was.; 1630:Recognition of was.; 1774:Recognition of was.; 1918:Recognition of was.; 2063:Recognition of was.; 5590:Recognition of was.; 5734:Recognition of was.; 5878:Recognition of was.; 6022:Recognition of was.
recognition of over,12,1345:Recognition of over...; 1489:Recognition of over...; 1633:Recognition of over...; 1777:Recognition of over...; 1921:Recognition of over...; 2066:Recognition of over...; 5593:Recognition of over...; 5737:Recognition of over...; 5881:Recognition of over...; 6025:Recognition of over...
recognition of and,12,1346:Recognition of and...; 1490:Recognition of and...; 1634:Recognition of and...; 1778:Recognition of and...; 1922:Recognition of and...; 2067:Recognition of and...; 5594:Recognition of and...; 5738:Recognition of and...; 5882:Recognition of and...; 6026:Recognition of and...
