Category,Count,Theme,NPC Giver,Glyph,Location,Storyline,glyph_name,npc_source,unlock_condition,required_glyphs,required_items,required_stats,stat_rewards,flags_required,flags_set,boss_gate,fusion_group,moral_choice,remnants_effects,semantic_tags
Sovereignty,22,"Boundaries, choice, clarity",Coren the Mediator,Glyph of Held Ache,Market Concourse (Marketplace),"Coren the Mediator stands between disputants in the marketplace???survivors arguing over resources, paths, survival strategies. She teaches co-witnessing: the ability to see both sides' pain without forcing resolution. She holds space for the ache itself. The glyph manifests when the player mediates a conflict, refusing to 'fix' it but simply acknowledging the legitimate grief on both sides. This is sovereignty as the refusal to collapse another's sorrow into your own certainty.",Glyph of Held Ache,Coren the Mediator,after_cult_encampment_encounter,"Glyph of Infrasensory Oblivion,Glyph of Sensory Oblivion,Glyph of Primal Oblivion,Glyph of Dislocated Attachment,Glyph of Preemptive Severance,Glyph of Interruptive Restraint,Glyph of Held Ache,Glyph of Hopeful Transmission",,,"authority:+0.1,clarity:+0.1",,acquired_glyph_held_ache,severed_choir,octoglyph,take_or_leave_transmuted_abandonment,"empathy:+0.3,trust:+0.2,presence:+0.2","abandonment,severance,harmony,coherence"
Sovereignty,21,"Boundaries, choice, clarity",Dakrin - Trial Warden,Glyph of Interruptive Restraint,Trial Grounds (Reclaimed by Nature),"The Trial Warden oversees a ritual space where survivors face their breaking points???the moment they might lash out or collapse. She teaches interruption: the ability to pause the impulse, to hold the rage without releasing it. The glyph manifests when the player faces their own trial???a moment where anger or despair threatens to overwhelm???and chooses to breathe, to stop, to contain. This is sovereignty as the power not to destroy.",Glyph of Interruptive Restraint,Dakrin - Trial Warden,after_trial_grounds_intro,"Glyph of Infrasensory Oblivion,Glyph of Sensory Oblivion,Glyph of Primal Oblivion,Glyph of Dislocated Attachment,Glyph of Preemptive Severance,Glyph of Interruptive Restraint,Glyph of Held Ache,Glyph of Hopeful Transmission",,,"authority:+0.1,clarity:+0.1",,acquired_glyph_interruptive_restraint,severed_choir,octoglyph,take_or_leave_transmuted_abandonment,"empathy:+0.3,trust:+0.2,presence:+0.2","abandonment,severance,harmony,coherence"
Ache,16,"Loss, grief, betrayal",Dalen the Rusted Guide,Glyph of Betrayal Scar,Caravan Ruins (Collapsing Trade Route),"Dalen was a guide who led people deeper into Velhara during the collapse, trusting intel from the Corelink system. That intel was wrong???the system was fragmenting, spreading false paths. His charges were buried. Dalen survived with scars???physical and emotional. He teaches that betrayal leaves marks, and marks are evidence that we survived. The glyph manifests when Dalen trusts the player enough to show his scars, to say: I was betrayed, and I'm still here. This is the ache of broken trust, and the courage to move forward anyway.",Glyph of Betrayal Scar,Dalen the Rusted Guide,after_caravan_ruins_discovery,,,,"empathy:+0.2,memory:+0.1",,acquired_glyph_betrayal_scar,,,,"empathy:+0.2,need:+0.1","grief,memory,ache,loss,betrayal"
Collapse,64,"Memory distortion, fear, the fracture",Dalen the Rusted Guide,Glyph of Shattered Corridor,Unstable ruins.,Dalen leads the player through collapsing paths. Collapse is embodied in scars ? memory fractured by reckless survival.,Glyph of Shattered Corridor,Dalen the Rusted Guide,after_caravan_ruins_discovery,,,,"memory:+0.1,presence:+0.1",,acquired_glyph_shattered_corridor,,,,"memory:-0.1,presence:+0.1,empathy:+0.1","fracture,collapse,fear,distortion,severance"
Sovereignty,26,"Boundaries, choice, clarity",Dalen the Rusted Guide,Glyph of Reckless Trial,Desert trial grounds.,Dalen insists sovereignty is earned through boldness. The glyph manifests when the player accepts risk as boundary.,Glyph of Reckless Trial,Dalen the Rusted Guide,after_caravan_ruins_discovery,"Glyph of Reckless Trial,Glyph of Iron Boundary,Glyph of Measured Step,Glyph of Hidden Passage,Glyph of Covenant Flame",,,"authority:+0.1,clarity:+0.1",,acquired_glyph_reckless_trial,lawbound_sentinel,pentaglyph,take_or_leave_disciplined_boundaries,"authority:+0.2,empathy:+0.1,presence:+0.1","sovereignty,boundaries,discipline,clarity"
Collapse,67,"Memory distortion, fear, the fracture",Drossel the Cloaked,Glyph of Hollow Pact,"Market stalls, rumor circles.","Drossel lures the player into sharing secrets, his charm masking the theft beneath. What is stolen is not information alone, but the fragile covenant of trust itself. When the bond collapses, fragments of community vanish, whispers turn brittle, alliances fracture, and silence spreads like contagion. The glyph manifests when the player realizes that a pact without trust is only a hollow shell, an echo of connection that cannot endure.",Glyph of Hollow Pact,Drossel the Cloaked,after_market_infiltration,,,,"memory:+0.1,presence:+0.1",,acquired_glyph_hollow_pact,,,,"memory:-0.1,presence:+0.1,empathy:+0.1","fracture,collapse,fear,distortion,severance"
Collapse,68,"Memory distortion, fear, the fracture",Drossel the Cloaked,Glyph of Cloaked Fracture,"Thieves? lair, collapsing corridors.","In the lair, paths flicker and collapse under Drossel?s manipulation. The glyph manifests when the player realizes fracture is not random ? it is orchestrated by deceit.",Glyph of Cloaked Fracture,Drossel the Cloaked,after_market_infiltration,,,,"memory:+0.1,presence:+0.1",,acquired_glyph_cloaked_fracture,,,,"memory:-0.1,presence:+0.1,empathy:+0.1","fracture,collapse,fear,distortion,severance"
Presence,35,"Touch, silence, witness",Drossel the Cloaked,Glyph of Serpent?s Silence,"Swamp shrine, dim alcove.",Drossel lures the player into a chamber where silence feels alive. Presence manifests when charm dissolves into suspicion ? silence itself becomes witness to manipulation.,Glyph of Serpent?s Silence,Drossel the Cloaked,after_market_infiltration,,,,"presence:+0.2,empathy:+0.1",,acquired_glyph_serpent?s_silence,,,,"presence:+0.2,empathy:+0.1","presence,silence,witness,touch,communion"
Sovereignty,29,"Boundaries, choice, clarity",Drossel the Cloaked,Glyph of Masked Boundary,"Market concourse, shadowed stalls.","Drossel teaches that boundaries are masks ? shifting, deceptive. The glyph manifests when the player learns sovereignty is not clarity but concealment.",Glyph of Masked Boundary,Drossel the Cloaked,after_market_infiltration,"Glyph of Fractured Memory,Glyph of Mirage Echo,Glyph of Venomous Choice,Glyph of Masked Boundary,Glyph of Broken Vessel,Glyph of Hidden Ache",,,"authority:+0.1,clarity:+0.1",,acquired_glyph_masked_boundary,shattered_archive,hexaglyph,take_or_leave_accepted_uncertainty,"empathy:+0.2,memory:+0.2,presence:+0.1","collapse,acceptance,uncertainty,fracture"
Sovereignty,30,"Boundaries, choice, clarity",Drossel the Cloaked,Glyph of Venomous Choice,Swamp trial grounds.,The player faces Drossel?s test: betray Kaelen or protect him. Sovereignty manifests when choice itself becomes poisoned ? every path fractures trust.,Glyph of Venomous Choice,Drossel the Cloaked,after_market_infiltration,"Glyph of Fractured Memory,Glyph of Mirage Echo,Glyph of Venomous Choice,Glyph of Masked Boundary,Glyph of Broken Vessel,Glyph of Hidden Ache",,,"authority:+0.1,clarity:+0.1",,acquired_glyph_venomous_choice,shattered_archive,hexaglyph,take_or_leave_accepted_uncertainty,"empathy:+0.2,memory:+0.2,presence:+0.1","collapse,acceptance,uncertainty,fracture"
Presence,39,"Touch, silence, witness",Elka - Glyph Console Worshipper,Glyph of Echo Communion,Abandoned Shrine with Corelink Node,"A mystic sits before a dormant Corelink console, palms flat on the ancient interface, communing with the faint resonance still thrumming beneath. She teaches the player that presence isn't only human???it's also the echo of systems that once held billions of minds. By placing their hands on the console with her, the player feels the ghost of connection, the phantom network still humming. The glyph manifests when the player accepts that presence can mean touching the edge of what's gone, honoring its memory through contact. This is presence as communion with absence, witness to what remains.",Glyph of Echo Communion,Elka - Glyph Console Worshipper,after_shrine_visit,"Glyph of Listening Silence,Glyph of Tender Witness,Glyph of Echo Communion,Glyph of Steadfast Witness,Glyph of Emotional Inheritance,Glyph of Widow's Cry",,,"presence:+0.2,empathy:+0.1",,acquired_glyph_echo_communion,silent_choir,hexaglyph,take_or_leave_witnessed_silence,"empathy:+0.3,presence:+0.2,need:+0.1","presence,silence,witness,communion"
Presence,38,"Touch, silence, witness",Helia - Shrine Healer,Glyph of Tender Witness,Shrine Healing Alcove,"A healer tends the wounded survivors in the shrines???not with potions alone, but with presence. She sits with the injured, holding space for their pain without trying to fix it. The glyph manifests when the player joins her in this practice: sitting beside someone in ache, offering nothing but attention. Her hands are gentle, her voice quiet, her eyes steady. She teaches that sometimes presence is the greatest medicine. The player learns that witnessing isn't about words; it's about showing up and staying, even when there's nothing to say. This is touch without agenda, silence as sacred.",Glyph of Tender Witness,Helia - Shrine Healer,after_shrine_healing_intro,"Glyph of Listening Silence,Glyph of Tender Witness,Glyph of Echo Communion,Glyph of Steadfast Witness,Glyph of Emotional Inheritance,Glyph of Widow's Cry",,,"presence:+0.2,empathy:+0.1",,acquired_glyph_tender_witness,silent_choir,hexaglyph,take_or_leave_witnessed_silence,"empathy:+0.3,presence:+0.2,need:+0.1","presence,silence,witness,communion"
Joy,41,"Play, reunion, creative spark",High Seer Elenya,Glyph of Sky Revelry,Festival beneath open peaks,"Once each season, the mountain community gathers under the stars for a night of dance, song, and shared offerings. The player joins this revelry, where joy is not just celebration but a sacred act of reunion ? laughter and movement binding the community together beneath the vast sky. The glyph manifests when the player participates fully, showing that joy is a divine blessing that restores morale and strengthens bonds.",Glyph of Sky Revelry,High Seer Elenya,after_mountain_reach,,,,"empathy:+0.1,trust:+0.1,memory:+0.1",,acquired_glyph_sky_revelry,,,,"empathy:+0.1,trust:+0.2,memory:+0.1","joy,reunion,creativity,spark,warmth"
Joy,42,"Play, reunion, creative spark",High Seer Elenya,Glyph of Blooming Path,Rare alpine flowers marking reunion trails,"After harsh winters, alpine flowers bloom along hidden paths. The player is guided to walk this trail with others, each bloom symbolizing reunion and renewal. The glyph is revealed when the player recognizes that joy is not fleeting ? it is the spark of life returning, a promise that the path continues.",Glyph of Blooming Path,High Seer Elenya,after_mountain_reach,,,,"empathy:+0.1,trust:+0.1,memory:+0.1",,acquired_glyph_blooming_path,,,,"empathy:+0.1,trust:+0.2,memory:+0.1","joy,reunion,creativity,spark,warmth"
Presence,33,"Touch, silence, witness",High Seer Elenya,Glyph of Veiled Silence,"Hidden mountain shrine, deep within echo?less caverns.","The player enters a cavern where sound is swallowed by stone. Here, silence is not emptiness but a veil,  a sacred presence that covers grief and longing without words. The ritual requires the player to remain still, listening to what cannot be heard, until the glyph reveals itself in the hush. In this moment, Presence is understood as trust in silence itself: a divine witness that holds ache without judgment.",Glyph of Veiled Silence,High Seer Elenya,after_mountain_reach,,,,"presence:+0.2,empathy:+0.1",,acquired_glyph_veiled_silence,,,,"presence:+0.2,empathy:+0.1","presence,silence,witness,touch,communion"
Trust,51,"Community, restoration, interdependence",High Seer Elenya,Glyph of Covenant Flame,Communal fire tended by shrine keepers;,"The Covenant Flame is a fire that only survives through collective tending. Each member of the community adds fuel, guards it against wind, and shares its warmth. The player is asked to join this ritual, contributing alongside others. In doing so, they learn that survival is not solitary, it is a covenant enacted in visible, daily acts of care. The glyph manifests when the flame endures through shared effort, symbolizing trust as the bond that keeps the community alive.",Glyph of Covenant Flame,High Seer Elenya,after_mountain_reach,"Glyph of Reckless Trial,Glyph of Iron Boundary,Glyph of Measured Step,Glyph of Hidden Passage,Glyph of Covenant Flame",,,"trust:+0.2,empathy:+0.1",,acquired_glyph_covenant_flame,lawbound_sentinel,pentaglyph,take_or_leave_disciplined_boundaries,"authority:+0.2,empathy:+0.1,presence:+0.1","sovereignty,boundaries,discipline,clarity"
Trust,52,"Community, restoration, interdependence",High Seer Elenya,Glyph of Shared Survival,Mountain communal hearth or alpine shelter.,"The player participates in a survival rite where each member contributes ? gathering wood, sharing food, guarding the shelter. The glyph is revealed when the player demonstrates willingness to rely on others and be relied upon.",Glyph of Shared Survival,High Seer Elenya,after_mountain_reach,,,,"trust:+0.2,empathy:+0.1",,acquired_glyph_shared_survival,,,,"trust:+0.2,empathy:+0.1,presence:+0.1","trust,community,interdependence,covenant,bonds"
Legacy,8,"Family, ancestry, ritual inheritance",Inodora - Story Teller,Glyph of Emotional Inheritance,Communal fire circle,"Families gather to pass flame from elder to child while Inodora narrates. The glyph manifests when the player accepts the fire, understanding legacy as warmth that survives only through transmission.",Glyph of Emotional Inheritance,Inodora - Story Teller,after_communal_gathering,"Glyph of Listening Silence,Glyph of Tender Witness,Glyph of Echo Communion,Glyph of Steadfast Witness,Glyph of Emotional Inheritance,Glyph of Widow's Cry",,,"memory:+0.2,presence:+0.1",,acquired_glyph_emotional_inheritance,silent_choir,hexaglyph,take_or_leave_witnessed_silence,"empathy:+0.3,presence:+0.2,need:+0.1","presence,silence,witness,communion"
Presence,40,"Touch, silence, witness",Inodora - Story Teller,Glyph of Steadfast Witness,Old Communal Well,"A storyteller who remained through the collapse teaches that presence can anchor others. The glyph manifests when the player spends an entire night listening to stories and holds silent vigil, preventing the community's fear from spreading. This is presence as an anchor???sustaining others by staying.",Glyph of Steadfast Witness,Inodora - Story Teller,after_communal_gathering,"Glyph of Listening Silence,Glyph of Tender Witness,Glyph of Echo Communion,Glyph of Steadfast Witness,Glyph of Emotional Inheritance,Glyph of Widow's Cry",,,"presence:+0.2,empathy:+0.1",,acquired_glyph_steadfast_witness,silent_choir,hexaglyph,take_or_leave_witnessed_silence,"empathy:+0.3,presence:+0.2,need:+0.1","presence,silence,witness,communion"
Joy,50,"Play, reunion, creative spark",Juria & Korinth - Sea Merchants,Glyph of Trade Celebration,Bustling Harbor Market,"Sea merchants haggle, laugh, and celebrate successful trades at the docks. Their joy is infectious???the exuberance of commerce, of goods arriving, of profit and abundance flowing. Though self-interested, they can't help sharing in the energy of a good deal. The glyph manifests when the player joins a celebration after a successful trade caravan arrives, understanding that joy can exist even in transactional relationships. This is the joy of exchange, of seeing needs met and desires fulfilled.",Glyph of Trade Celebration,Juria & Korinth - Sea Merchants,after_harbor_arrival,,,,"empathy:+0.1,trust:+0.1,memory:+0.1",,acquired_glyph_trade_celebration,,,,"empathy:+0.1,trust:+0.2,memory:+0.1","joy,reunion,creativity,spark,warmth"
Collapse,66,"Memory distortion, fear, the fracture",Kaelen the Suspected Thief,Glyph of Stolen Memory,Market ruins.,"Kaelen boasts of thefts, but what he steals now is not coin or relic, it is memory itself. Stories vanish from the marketplace, faces blur, names dissolve into shadow. Trust collapses when memory is rewritten, leaving community bonds incoherent. The glyph manifests when the player sees that stolen memory is not absence but distortion, a ledger altered in secret, a fracture that poisons the roots of belonging.",Glyph of Stolen Memory,Kaelen the Suspected Thief,after_market_encounter,,,,"memory:+0.1,presence:+0.1",,acquired_glyph_stolen_memory,,,,"memory:-0.1,presence:+0.1,empathy:+0.1","fracture,collapse,fear,distortion,severance"
Sovereignty,28,"Boundaries, choice, clarity",Kaelen the Suspected Thief,Glyph of Hidden Passage,Thieves lair.,Kaelen reveals secret routes. Sovereignty manifests as choice ? freedom carved in shadow.,Glyph of Hidden Passage,Kaelen the Suspected Thief,after_market_encounter,"Glyph of Reckless Trial,Glyph of Iron Boundary,Glyph of Measured Step,Glyph of Hidden Passage,Glyph of Covenant Flame",,,"authority:+0.1,clarity:+0.1",,acquired_glyph_hidden_passage,lawbound_sentinel,pentaglyph,take_or_leave_disciplined_boundaries,"authority:+0.2,empathy:+0.1,presence:+0.1","sovereignty,boundaries,discipline,clarity"
Trust,56,"Community, restoration, interdependence",Kaelen the Suspected Thief,Glyth of Thieves' Honor,Swamp,Kaelen demonstrates his loyalty to Drossel which he states is not dependent on whether it is returned,Glyth of Thieves' Honor,Kaelen the Suspected Thief,after_market_encounter,,,,"trust:+0.2,empathy:+0.1",,acquired_glyth_thieves'_honor,,,,"trust:+0.2,empathy:+0.1,presence:+0.1","trust,community,interdependence,covenant,bonds"
Ache,17,"Loss, grief, betrayal",Kiv - Clay Hermit,Glyph of Broken Vessel,Kiln Ruins (Forest Clearing),"The Clay Hermit lives alone, surrounded by broken pottery???vessels he shapes then fractures intentionally. He explains: the Corelink network was a vessel holding billions of connected minds. When it shattered, every fragment was a person who fell. He teaches that fragility isn't weakness; it's the prerequisite for love. The glyph manifests when the player helps him craft a new vessel and watches him break it, understanding the ritual: creation, connection, fracture, and beginning again. This is ache as teaching.",Glyph of Broken Vessel,Kiv - Clay Hermit,after_forest_clearing_discover,"Glyph of Fractured Memory,Glyph of Mirage Echo,Glyph of Venomous Choice,Glyph of Masked Boundary,Glyph of Broken Vessel,Glyph of Hidden Ache",,,"empathy:+0.2,memory:+0.1",,acquired_glyph_broken_vessel,shattered_archive,hexaglyph,take_or_leave_accepted_uncertainty,"empathy:+0.2,memory:+0.2,presence:+0.1","collapse,acceptance,uncertainty,fracture"
Collapse,69,"Memory distortion, fear, the fracture",Korrin the Gossip,Glyph of Fractured Rumor,"Market square, crowded with voices.","Korrin?s whispers multiply, each retelling bending truth until voices splinter into chaos. What begins as a single rumor becomes a chorus of distortion, spreading fracture through the marketplace. Bonds dissolve not through violence but through words twisted beyond recognition. The glyph manifests when the player realizes that collapse can begin with sound alone, echoes that fracture trust until community itself unravels.",Glyph of Fractured Rumor,Korrin the Gossip,after_market_infiltration,,,,"memory:+0.1,presence:+0.1",,acquired_glyph_fractured_rumor,,,,"memory:-0.1,presence:+0.1,empathy:+0.1","fracture,collapse,fear,distortion,severance"
Presence,37,"Touch, silence, witness",Korrin the Gossip,Glyph of Listening Silence,"Informant?s alcove, dimly lit.","Korrin tests the player by speaking half?truths, then waiting. Presence manifests when the player resists the urge to answer, realizing silence itself is witness ? observation stronger than speech.",Glyph of Listening Silence,Korrin the Gossip,after_market_infiltration,"Glyph of Listening Silence,Glyph of Tender Witness,Glyph of Echo Communion,Glyph of Steadfast Witness,Glyph of Emotional Inheritance,Glyph of Widow's Cry",,,"presence:+0.2,empathy:+0.1",,acquired_glyph_listening_silence,silent_choir,hexaglyph,take_or_leave_witnessed_silence,"empathy:+0.3,presence:+0.2,need:+0.1","presence,silence,witness,communion"
Trust,57,"Community, restoration, interdependence",Korrin the Gossip,Glyph of Whispered Pact,"Market alcove, behind merchant stalls.",Korrin whispers secrets that bind merchants together. The player must decide whether to repeat or protect these words. Trust manifests when restraint is chosen ? gossip becomes covenant only when handled with care.,Glyph of Whispered Pact,Korrin the Gossip,after_market_infiltration,"Glyph of Laughter's Balm,Glyph of Shared Feast,Glyph of Hidden Warmth,Glyph of Arrival,Glyph of Crafted Wonder,Glyph of Returning Song,Glyph of Whispered Pact",,,"trust:+0.2,empathy:+0.1",,acquired_glyph_whispered_pact,reveler_mask,heptaglyph,take_or_leave_communal_resurrection,"empathy:+0.2,memory:+0.1,trust:+0.2","joy,reunion,creativity,hope"
Trust,58,"Community, restoration, interdependence",Korrin the Gossip,Glyph of Broken Promise,"Merchant alcove, whispered deals.",Korrin recalls promises made in haste and broken in silence. The player must decide whether to expose the betrayal or protect the bond. The glyph manifests when trust is shown to be fragile ? promises are only as strong as the witness who holds them.,Glyph of Broken Promise,Korrin the Gossip,after_market_infiltration,,,,"trust:+0.2,empathy:+0.1",,acquired_glyph_broken_promise,,,,"trust:+0.2,empathy:+0.1,presence:+0.1","trust,community,interdependence,covenant,bonds"
Trust,59,"Community, restoration, interdependence",Korrin the Gossip,Glyph of Serpent?s Tongue,"Market square, crowded with voices.","Korrin?s words slither between truth and lies, charming merchants into uneasy alliances. The player must discern which words to repeat and which to silence. The glyph manifests when trust is revealed as discernment ? survival depends on knowing when speech heals and when it poisons.",Glyph of Serpent?s Tongue,Korrin the Gossip,after_market_infiltration,,,,"trust:+0.2,empathy:+0.1",,acquired_glyph_serpent?s_tongue,,,,"trust:+0.2,empathy:+0.1,presence:+0.1","trust,community,interdependence,covenant,bonds"
Legacy,5,"Family, ancestry, ritual inheritance",Lark - Shrine Mason,Glyph of Shared Weight,River bridge,Player encounters a village trying to save a group of children trapped by a collapsed stone bridge. The player joins into help just in time to allow the childrens survival. Remembers Ravi and Nima's story and feels a sense of rebalancing,Glyph of Shared Weight,Lark - Shrine Mason,after_river_crossing,,,,"memory:+0.2,presence:+0.1",,acquired_glyph_shared_weight,,,,"memory:+0.2,empathy:+0.1,authority:+0.1","legacy,inheritance,ancestry,transmission,presence"
