Category,Count,Theme,NPC Giver,Glyph,Location,Storyline
Ache,14,"Loss, grief, betrayal",Nima,Glyph of Sorrow,Market Overlook,"After acquiring the Glyph of Remembrance, the player encounters Nima alone, gazing at a specific spot in the marketplace. This is where Ophina played. Player choices determine the encounter: Observe quietly (she walks away silently), Approach quietly (she admits 'I still can't believe it'), Inquire directly (she says 'You wouldn't understand'), or Empathize (she opens: 'This is where it happened. The City spoke before I knew how to listen'). If the player shows high empathy, Nima shares fragments of Ophina's final moments and the player receives the Tome of the Mustard Seed—an item that enhances Empathy and unlocks grief-based dialogue with other survivors. This glyph represents sorrow not as something to fix, but as something to carry. It manifests when Nima feels witnessed, not absolved. This is the ache of permanent loss, metabolized into wisdom."
Ache,15,"Loss, grief, betrayal",Desert Widow,Glyph of Widow's Cry,Shrine of Loss (Desert Temple),"The Desert Widow tends a shrine in the sand, offerings left by those who lost partners to the Corelink collapse. Some were deep enough in the network that the severance was lethal. She teaches a ritual lament—a song that carries grief into the wind where it can dissolve without poisoning the heart. The glyph manifests when the player joins her song, understanding that some griefs are meant to be transmitted, not contained. This is the widow's wisdom: loss shared becomes bearable."
Ache,16,"Loss, grief, betrayal",Dalen the Rusted Guide,Glyph of Betrayal Scar,Caravan Ruins (Collapsing Trade Route),"Dalen was a guide who led people deeper into Velhara during the collapse, trusting intel from the Corelink system. That intel was wrong—the system was fragmenting, spreading false paths. His charges were buried. Dalen survived with scars—physical and emotional. He teaches that betrayal leaves marks, and marks are evidence that we survived. The glyph manifests when Dalen trusts the player enough to show his scars, to say: I was betrayed, and I'm still here. This is the ache of broken trust, and the courage to move forward anyway."
Ache,17,"Loss, grief, betrayal",Clay Hermit,Glyph of Broken Vessel,Kiln Ruins (Forest Clearing),"The Clay Hermit lives alone, surrounded by broken pottery—vessels he shapes then fractures intentionally. He explains: the Corelink network was a vessel holding billions of connected minds. When it shattered, every fragment was a person who fell. He teaches that fragility isn't weakness; it's the prerequisite for love. The glyph manifests when the player helps him craft a new vessel and watches him break it, understanding the ritual: creation, connection, fracture, and beginning again. This is ache as teaching."
Ache,18,"Loss, grief, betrayal",Silent Elder,Glyph of Silent Ache,Abandoned Shrine (Rural Outskirts),"The Silent Elder hasn't spoken since the Corelink collapse—not out of trauma, but out of choice. With the network gone, she realized that most of what she said was noise, confirmation-seeking, the chatter of a mind desperate for connection. Now she sits in stillness. The glyph manifests when the player sits with her in complete silence for as long as they can bear, discovering that presence doesn't require words. This is the ache of all the things that will never be said, held in sacred quiet."
Ache,19,"Loss, grief, betrayal",Mariel the Weaver,Glyph of Sewn Ache,Shrine Keeper's Alcove (Sacred Loom),"Mariel weaves cloth from threads salvaged from Velhara's ruins—copper wire, fabric scraps, strands of hair left behind. Each weaving is a memorial. She teaches that grief, when woven together, becomes something stronger: a shroud, a bandage, a map home. The glyph manifests when the player helps her complete a cloth that holds the stories of seven lost families. This is ache transformed into care, grief given form and function."
Ache,20,"Loss, grief, betrayal",Mask-Maker,Glyph of Hidden Ache,Market Stall (Marketplace),"The Mask-Maker crafts faces from clay, wood, and scrap—each one a different expression. Buyers choose masks to wear during the seasonal gatherings, allowing them to express emotions they otherwise keep hidden. The Mask-Maker reveals that grief, hidden, doesn't disappear—it calcifies. The glyph manifests when the player commissions a mask that shows their true ache, then wears it publicly, allowing others to witness. This is the courage to stop performing recovery and admit: I am still broken, and that's okay."
Sovereignty,21,"Boundaries, choice, clarity",Trial Warden,Glyph of Interruptive Restraint,Trial Grounds (Reclaimed by Nature),"The Trial Warden oversees a ritual space where survivors face their breaking points—the moment they might lash out or collapse. She teaches interruption: the ability to pause the impulse, to hold the rage without releasing it. The glyph manifests when the player faces their own trial—a moment where anger or despair threatens to overwhelm—and chooses to breathe, to stop, to contain. This is sovereignty as the power not to destroy."
Sovereignty,22,"Boundaries, choice, clarity",Mediator,Glyph of Held Ache,Market Concourse (Marketplace),"The Mediator stands between disputants in the marketplace—survivors arguing over resources, paths, survival strategies. She teaches co-witnessing: the ability to see both sides' pain without forcing resolution. She holds space for the ache itself. The glyph manifests when the player mediates a conflict, refusing to 'fix' it but simply acknowledging the legitimate grief on both sides. This is sovereignty as the refusal to collapse another's sorrow into your own certainty."
Sovereignty,23,"Boundaries, choice, clarity",Archivist Malrik,Glyph of Measured Step,Desert Trial Grounds (Archive Chamber),"Malrik leads the player through a gauntlet of desert ruins—each step destabilizing stone. He teaches measured pace: not fast (panic), not slow (paralysis), but a tempo that matches the ground beneath. The glyph manifests when the player successfully traverses the ruins, understanding that sovereignty isn't freedom from consequence, but the discipline to move through consequence with intention. This is endurance as art."
Sovereignty,24,"Boundaries, choice, clarity",Archivist Malrik,Glyph of Boundary Stone,Shifting Sands (Desert Archive),"Malrik teaches the player to carve boundary markers in the desert sand—stones or glyphs that define safe space amid chaos. These markers are temporary; the wind will erase them. But while they stand, they hold. The glyph manifests when the player carves their first boundary marker and watches it hold against the wind for a time. This is clarity through definition: the act of saying 'this far, no further,' knowing full well the boundary will eventually dissolve. Sovereignty isn't permanence—it's the repeated choice to mark and hold and redefine."
Sovereignty,25,"Boundaries, choice, clarity",Tovren the Cartwright,Glyph of Marked Boundaries,Collapsing trade route.,Tovren teaches the player to mark unstable paths with chalk. Sovereignty is clarity ? boundaries drawn to protect travelers.
Sovereignty,26,"Boundaries, choice, clarity",Dalen the Rusted Guide,Glyph of Reckless Trial,Desert trial grounds.,Dalen insists sovereignty is earned through boldness. The glyph manifests when the player accepts risk as boundary.
Sovereignty,27,"Boundaries, choice, clarity",Captain Veynar,Glyph of Iron Boundary,Trial grounds.,Veynar teaches that sovereignty is law ? boundaries enforced through weary vigilance.
Sovereignty,28,"Boundaries, choice, clarity",Kaelen the Suspected Thief,Glyph of Hidden Passage,Thieves? lair.,Kaelen reveals secret routes. Sovereignty manifests as choice ? freedom carved in shadow.
Sovereignty,29,"Boundaries, choice, clarity",Drossel the Cloaked,Glyph of Masked Boundary,"Market concourse, shadowed stalls.","Drossel teaches that boundaries are masks ? shifting, deceptive. The glyph manifests when the player learns sovereignty is not clarity but concealment."
Sovereignty,30,"Boundaries, choice, clarity",Drossel the Cloaked,Glyph of Venomous Choice,Swamp trial grounds.,The player faces Drossel?s test: betray Kaelen or protect him. Sovereignty manifests when choice itself becomes poisoned ? every path fractures trust.
Presence,31,"Touch, silence, witness",The Desert Listener,Glyph of Sensory Oblivion,Resonance Chamber ? a cavern where echoes collapse into stillness.,"The player enters the Resonance Chamber, a place where sound dissolves and touch becomes heightened. The Desert Listener guides them through a ritual of sensing absence, tracing walls, feeling vibrations, noticing what is no longer there. In this silence, loss is not spoken but embodied: the ache of what has vanished is carried in the body?s subtle awareness. The glyph manifests when the player accepts that presence can mean witnessing emptiness without trying to fill it."
Presence,32,"Touch, silence, witness",Ravi,Glyph of Remembrance,Market Shrine (Marketplace),"After obtaining the Tome of the Mustard Seed, Ravi approaches the player alone. He speaks of the moment before Ophina was trapped—the last instant he could have intervened but didn't. His trusting nature made him ignore his gut feeling that something was amiss. He carries deep guilt because he believed his role as a father meant he was his daughter's knight and armor, that no harm could come to her in his presence. The City taught him the painful lesson of his hubris. Once bold and gregarious, he is now a hollow shell. The player listens without offering comfort. The glyph manifests when Ravi feels truly witnessed in his failure—not forgiven, not absolved, but simply seen. This presence is the refusal to look away from others' pain. Witnessing becomes a form of dignity. If the player has the Tome, Ravi's empathy gain is enhanced, and he reveals the location of the Glyph of Legacy."
Presence,33,"Touch, silence, witness",High Seer Elenya,Glyph of Veiled Silence,"Hidden mountain shrine, deep within echo?less caverns.","The player enters a cavern where sound is swallowed by stone. Here, silence is not emptiness but a veil,  a sacred presence that covers grief and longing without words. The ritual requires the player to remain still, listening to what cannot be heard, until the glyph reveals itself in the hush. In this moment, Presence is understood as trust in silence itself: a divine witness that holds ache without judgment."
Presence,34,"Touch, silence, witness",Sera the Herb Novice,Glyph of Fragrant Silence,Herb?lined shrine alcove.,"In silence, the player inhales the scent of crushed herbs. Presence is revealed as subtle witness ? healing carried in quiet fragrance."
Presence,35,"Touch, silence, witness",Drossel the Cloaked,Glyph of Serpent?s Silence,"Swamp shrine, dim alcove.",Drossel lures the player into a chamber where silence feels alive. Presence manifests when charm dissolves into suspicion ? silence itself becomes witness to manipulation.
Presence,36,"Touch, silence, witness",Sera the Herb Novice,Glyph of Quiet Bloom,Shrine keeper?s hut.,Sera invites the player to join her in tending wounds with herbs. Trust manifests when care is given and received ? survival depends on hands extended in empathy.
Presence,37,"Touch, silence, witness",Korrin the Gossip,Glyph of Listening Silence,"Informant?s alcove, dimly lit.","Korrin tests the player by speaking half?truths, then waiting. Presence manifests when the player resists the urge to answer, realizing silence itself is witness ? observation stronger than speech."
Presence,38,"Touch, silence, witness",,,,
Presence,39,"Touch, silence, witness",,,,
Joy,40,"Play, reunion, creative spark",High Seer Elenya,Glyph of Sky Revelry,Festival beneath open peaks,"Once each season, the mountain community gathers under the stars for a night of dance, song, and shared offerings. The player joins this revelry, where joy is not just celebration but a sacred act of reunion ? laughter and movement binding the community together beneath the vast sky. The glyph manifests when the player participates fully, showing that joy is a divine blessing that restores morale and strengthens bonds."
Joy,41,"Play, reunion, creative spark",High Seer Elenya,Glyph of Blooming Path,Rare alpine flowers marking reunion trails,"After harsh winters, alpine flowers bloom along hidden paths. The player is guided to walk this trail with others, each bloom symbolizing reunion and renewal. The glyph is revealed when the player recognizes that joy is not fleeting ? it is the spark of life returning, a promise that the path continues."
Joy,42,"Play, reunion, creative spark",Sera the Herb Novice,Glyph of Verdant Reunion,Shrine garden after winter thaw.,Sera guides the player to gather herbs that only bloom when tended together. Joy manifests as reunion through shared care ? growth as communal spark.
Joy,43,"Play, reunion, creative spark",Sera the Herb Novice,Glyph of Dawn Petals,Shrine garden at first light.,"Sera guides the player to gather blossoms that only open at dawn. Joy is appreciated because it can be fleeting, so appreciation with shared hope is embraced"
Joy,44,"Play, reunion, creative spark",Sera the Herb Novice,Glyph of Laughter's Balm,Market shrine courtyard.,"Sera brews a tea from herbs that lighten sorrow. The player helps her find the herbs, and in the process find solace in his grief over losing his family to disease. His story also lightens the hearts of the other grieving villagers. The group finds laughter in remembering jokes their loved ones used to tell."
Joy,45,"Play, reunion, creative spark",,,,
Joy,46,"Play, reunion, creative spark",,,,
Joy,47,"Play, reunion, creative spark",,,,
Joy,48,"Play, reunion, creative spark",,,,
Joy,49,"Play, reunion, creative spark",,,,
Trust,50,"Community, restoration, interdependence",High Seer Elenya,Glyph of Covenant Flame,Communal fire tended by shrine keepers;,"The Covenant Flame is a fire that only survives through collective tending. Each member of the community adds fuel, guards it against wind, and shares its warmth. The player is asked to join this ritual, contributing alongside others. In doing so, they learn that survival is not solitary, it is a covenant enacted in visible, daily acts of care. The glyph manifests when the flame endures through shared effort, symbolizing trust as the bond that keeps the community alive."
Trust,51,"Community, restoration, interdependence",High Seer Elenya,Glyph of Shared Survival,Mountain communal hearth or alpine shelter.,"The player participates in a survival rite where each member contributes ? gathering wood, sharing food, guarding the shelter. The glyph is revealed when the player demonstrates willingness to rely on others and be relied upon."
Trust,52,"Community, restoration, interdependence",Tovren the Cartwright,Glyph of Shared Burden,Merchant caravan.,The player helps carry goods across a fractured bridge. Trust manifests when survival depends on bearing weight together.
Trust,53,"Community, restoration, interdependence",Mariel the Weaver,Glyph of Binding Cloth,Shrine alcove.,The player joins Mariel in weaving communal cloth. Trust manifests as threads binding lives together.
Trust,54,"Community, restoration, interdependence",Captain Veynar,Glyph of Weary Justice,Market concourse.,Veynar forces choices between betrayal and protection. Trust manifests when justice is restored through costly sacrifice.
Trust,55,"Community, restoration, interdependence",Kaelen the Suspected Thief,Glyth of Thieves' Honor,Swamp,Kaelen demonstrates his loyalty to Drossel which he states is not dependent on whether it is returned
Trust,56,"Community, restoration, interdependence",Korrin the Gossip,Glyph of Whispered Pact,"Market alcove, behind merchant stalls.",Korrin whispers secrets that bind merchants together. The player must decide whether to repeat or protect these words. Trust manifests when restraint is chosen ? gossip becomes covenant only when handled with care.
Trust,57,"Community, restoration, interdependence",Korrin the Gossip,Glyph of Broken Promise,"Merchant alcove, whispered deals.",Korrin recalls promises made in haste and broken in silence. The player must decide whether to expose the betrayal or protect the bond. The glyph manifests when trust is shown to be fragile ? promises are only as strong as the witness who holds them.
Trust,58,"Community, restoration, interdependence",Korrin the Gossip,Glyph of Serpent?s Tongue,"Market square, crowded with voices.","Korrin?s words slither between truth and lies, charming merchants into uneasy alliances. The player must discern which words to repeat and which to silence. The glyph manifests when trust is revealed as discernment ? survival depends on knowing when speech heals and when it poisons."
Trust,59,"Community, restoration, interdependence",,,,
Collapse,60,"Memory distortion, fear, the fracture",Cult Adjudicator,Glyph of Preemptive Severance,Cult Encampment (Mountain Fortress),"The Cult Adjudicator leads a group that practices preemptive severance—severing all emotional bonds before they can betray you. They teach: if you cut ties first, the abandonment can't touch you. The player encounters their community and must choose: join them in their defense, or challenge their logic. The glyph manifests when the player realizes that this is a response to trauma—a broken logic that protects by destroying. Understanding this fracture in reasoning reveals the glyph's truth: fear creates false choices. This is the collapse of empathy under pressure."
Collapse,61,"Memory distortion, fear, the fracture",Archivist Malrik,Glyph of Fractured Memory,Archive Chamber (Ruins Where Inscriptions Blur),"Malrik shows the player chambers where the Corelink system stored emotional data—now corrupted, glitching, displaying fragments of millions of private moments. Names blur into meaninglessness. Relationships dissolve into noise. The glyph manifests when the player realizes that this fracture isn't accidental—it's what happens when a system designed to hold consciousness collapses mid-transmission. Data doesn't just vanish; it becomes distorted, haunting. This is the ache of information without context, memory without meaning."
Collapse,62,"Memory distortion, fear, the fracture",Archivist Malrik,Glyph of Mirage Echo,Desert Heat (Illusion Trial),"The player navigates the desert with Malrik, who points out mirages—false water, false paths, false homes. These mirages are fed by Corelink remnants, tech still broadcasting phantom signals. As the player walks, they question what's real. The glyph manifests when the player chooses to dismiss a mirage and keep walking, accepting uncertainty. This is fear and fracture embodied: the world becomes unreliable not through malice, but through the breakdown of the systems that made trust possible. This glyph teaches that surviving collapse means accepting that you cannot always know what's real."
Collapse,63,"Memory distortion, fear, the fracture",Dalen the Rusted Guide,Glyph of Shattered Corridor,Unstable ruins.,Dalen leads the player through collapsing paths. Collapse is embodied in scars ? memory fractured by reckless survival.
Collapse,64,"Memory distortion, fear, the fracture",Captain Veynar,Glyph of Fractured Oath,Guard barracks.,"Broken promises haunt Veynar?s weary authority. Collapse is revealed when oaths fracture, leaving shadows."
Collapse,65,"Memory distortion, fear, the fracture",Kaelen the Suspected Thief,Glyph of Stolen Memory,Market ruins.,"Kaelen?s theft distorts communal trust. Collapse is revealed when memory itself is stolen, leaving fracture"
Collapse,66,"Memory distortion, fear, the fracture",Drossel the Cloaked,Glyph of Stolen Memory,"Market stalls, rumor circles.","Drossel coaxes secrets from the player, twisting trust into theft. Collapse manifests when memory itself is stolen ? fragments vanish, leaving fracture in community bonds."
Collapse,67,"Memory distortion, fear, the fracture",Drossel the Cloaked,Glyph of Cloaked Fracture,"Thieves? lair, collapsing corridors.","In the lair, paths flicker and collapse under Drossel?s manipulation. The glyph manifests when the player realizes fracture is not random ? it is orchestrated by deceit."
Collapse,68,"Memory distortion, fear, the fracture",Korrin the Gossip,Glyph of Fractured Rumor,"Market square, crowded with voices.","Korrin?s rumor spreads unchecked, distorting memory and fracturing bonds. The glyph manifests when the player sees how collapse begins not in violence, but in words twisted beyond truth."
Transcendence,69,"Unity, transformation, resolution",Ravi & Nima,Glyph of Contained Loss,Triglyph Chamber (Civic Center Ruins),"This fusion glyph is created when the player combines three glyphs: Glyph of Sorrow (Ache/Nima), Glyph of Remembrance (Presence/Ravi), and Glyph of Legacy (Legacy/Ravi & Nima). These three glyphs unlock access to the Triglyph Chamber, a Corelink emotional server housing 'The Witnessed Crown'—a boss shaped like a weeping, crowned figure that turns away in shame. The player defeats this boss not through combat, but through witnessing: by positioning themselves to see the boss's eye and honoring its grief. When defeated, the boss dissolves into the Glyph of Contained Loss. Behind the victory console, the player sees a faint vision: young Velinor playing with Ophina in the marketplace, laughing and chasing through the stalls. FINAL CHOICE: Take the glyph (massive empathy boost; Ravi and Nima leave the market, feeling they can no longer atone) or Leave the glyph (smaller empathy boost + trust with Ravi/Nima; they stay and slowly heal, feeling Ophina's memory is honored). This glyph represents metabolized grief transformed into lasting compassion."
Transcendence,70,"Unity, transformation, resolution",Oracle Saori,Octoglyph of Resonant Paths,Octoglyph Chamber (Saori's Archive),"This fusion glyph is created when the player combines eight glyphs across all emotional categories. These eight glyphs unlock access to the Octoglyph Chamber, the deepest Corelink emotional server, housing the 'Octoglyph Sentinel'—a manifestation of the system's fractured consciousness, mirroring the player's own emotional choices throughout the game. The Sentinel has eight attack patterns, one tied to each glyph category. The player defeats this boss by aligning their emotional resonance with each pattern—essentially demonstrating that they have metabolized all eight emotional frameworks. When defeated, the Sentinel dissolves into the Octoglyph of Resonant Paths. Behind the victory console, the player witnesses a vision of Velinor's possible futures, branching into multiple timelines. FINAL CHOICE: Take the octoglyph (massive narrative presence boost; allows access to Saori's true chamber; opens final ending branches) or Leave the octoglyph (smaller empathy/trust boost; respects the autonomy of fragmented factions; opens alternate resolution paths). This glyph represents transcendence: the player's journey from observer to participant to steward of emotional memory itself."
