Fragment_ID,NPC_Name,NPC_Archetype,Biome,Title,Ability_Gained,Storyline,Emotional_Focus
GF-013,Dumpster Diver Two,Market NPC,Market,Fragment of Repurposed Justice,Authority +10,"The second dumpster diver knows where the Guard's stolen goods are hidden. By working with them, the player learns to navigate the black market safely. This fragment opens dialogue with other thieves and outlaws, making them neutral rather than hostile.",Authority / Skepticism
GF-014,Deputy to Veynar,Market NPC,Market,Fragment of Forced Choice,Authority +10 (or Empathy -5),"Veynar's eager deputy pushes the player toward violent enforcement. Choosing this path grants authority but fractures relationships with gentle NPCs. Not choosing it teaches discernment—understanding when refusing authority maintains integrity.",Authority / Resolve
GF-015,Smuggler of the Pass,Mountain Pass NPC,Mountain Pass,Fragment of Bootleg Routes,Observation +20,"The smuggler teaches the player to see through official checkpoints by memorizing guard patterns. This fragment unlocks a hidden route that bypasses the pass entirely, though it's dangerous. The player learns that authority can be circumvented through patient observation.",Observation / Need
GF-016,Gatekeeper of the Pass,Mountain Pass NPC,Mountain Pass,Fragment of Lawful Passage,Authority +15,"The Gatekeeper teaches the player to understand authority as responsibility rather than oppression. By helping enforce the pass fairly, the player learns that some rules protect the vulnerable. This fragment grants the ability to move NPCs safely through the pass.",Authority / Trust
GF-017,Pilgrim Caravan,Mountain Pass NPC,Mountain Pass,Fragment of Shared Road,"Empathy +15, Trust +20","A caravan of pilgrims shares their journey with the player. In traveling with them, the player learns their stories and gains significant emotional bonds. This fragment unlocks special dialogue where the pilgrims offer shelter during storms.",Trust / Empathy
GF-018,Collapsed Bridge Survivor,Mountain Pass NPC,Mountain Pass,Fragment of Lost Glyph Hunt,Observation +15,"A survivor lost companions in a bridge collapse and seeks to recover their fallen companions' glyphs. Helping them search teaches navigation through dangerous terrain and rewards the player with a discovered glyph they didn't have to 'unlock' emotionally—a gift born from compassion.",Empathy / Observation
GF-019,Hermit Sage,Mountain NPC,Mountain,Fragment of Hermitage Wisdom,Memory +15,"The Hermit Sage offers cryptic teachings in riddles. The player must solve the riddles to unlock special dialogue. This fragment opens memory-based puzzle encounters throughout the world.",Memory / Nuance
GF-020,Mountain Guardian,Mountain NPC,Mountain,Fragment of Courageous Threshold,Resolve +20,"The Mountain Guardian tests the player's courage before granting passage through a peak. The player must make a choice that risks harm. Succeeding builds resolve; failing teaches humility. This fragment unlocks mountain shortcuts.",Resolve / Authority
GF-021,Stone Carver,Mountain NPC,Mountain,Fragment of Deliberate Craft,Nuance +15,"The Stone Carver teaches the player that true mastery requires slowness. By watching them work, the player learns to appreciate subtlety and detail. This fragment teaches a meditation minigame that restores emotional balance when the player is overwhelmed.",Nuance / Empathy
GF-022,Snow Wanderer,Mountain NPC,Mountain,Fragment of Alpine Endurance,Resolve +10 (then Need +20 if you cooperate),"The Snow Wanderer demands offerings to guide the player through blizzards. Negotiating fairly teaches that survival is mutual need. This fragment unlocks mountain traversal during harsh weather.",Resolve / Need
GF-023,Nomad Leader,Desert NPC,Desert,Fragment of Tribal Kinship,Trust +20,"The Nomad Leader teaches the player that loyalty is earned through shared hardship. By camping with the tribe and participating in their rituals, the player gains a found family. This fragment opens trade routes through the desert and provides shelter in nomad camps.",Trust / Empathy
GF-024,Relic Hunter,Desert NPC,Desert,Fragment of Obsessive Search,Observation +20 (or Skepticism -10 if betrayed),"The Relic Hunter is obsessed with buried glyphs but will betray the player if trust dips. Staying loyal to them teaches dedication and rewards with a discovered relic location. Betraying them teaches the cost of short-term thinking.",Observation / Trust
GF-025,Water Seeker,Desert NPC,Desert,Fragment of Life Source,Need +10 (then Resolve +15),"The Water Seeker leads the player to hidden oases but demands payment. Over time, if the player is generous, the Seeker reveals the secret springs. This fragment unlocks desert traversal by teaching water management mechanics.",Need / Empathy
GF-026,Desert Crone,Desert NPC,Desert,Fragment of Harsh Truth,Skepticism +20,"The Desert Crone speaks blunt wisdom without softening. Her words sometimes wound, but they're always true. This fragment teaches the player to trust skeptical voices and rewards them with the Crone's navigation advice—she knows every danger.",Skepticism / Memory
GF-027,Sand Artisan,Desert NPC,Desert,Fragment of Fragile Creation,Nuance +15,"The Sand Artisan creates boats from sand and air—they crumble easily, but the beauty is in their impermanence. This fragment teaches the player to appreciate transient beauty and unlocks a meditation minigame tied to acceptance of loss.",Nuance / Empathy
GF-028,Shrine Mason,Village NPC,Various,Fragment of Collective Care,Trust +15,"The Mason teaches the player to help rebuild damaged shrines. Each shrine offers unique benefits: healing, memory restoration, or emotional clarity. This fragment opens shrine upgrade mechanics.",Trust / Resolve
GF-029,Bone Keeper,Village NPC,Various,Fragment of Respectful Preservation,Empathy +15,"The Bone Keeper teaches proper burial rituals. Helping them honor the dead opens conversations with other survivors about grief. This fragment unlocks access to ossuaries and ancestral sites.",Empathy / Memory
GF-030,Mourning Singer,Village NPC,Various,Fragment of Sung Ache,"Empathy +20, Memory +10","The Mourning Singer teaches the player a lament that can be sung in the world. Singing it draws survivors who share their own stories. This fragment opens dialogue trees focused on collective grieving and healing.",Empathy / Memory
GF-031,Clay Hermit,Village NPC,Forest,Fragment of Broken Creation,Nuance +15,"The Clay Hermit teaches that breaking pottery is an art form—impermanence as intention. This fragment unlocks a crafting minigame where the player learns to make items that are beautiful precisely because they're fragile.",Nuance / Empathy
GF-032,Silent Elder,Village NPC,Various,Fragment of Sacred Stillness,Empathy +15 (then Nuance +10),"The Silent Elder teaches meditation and silence as tools. The player learns to sit with grief without speaking. This fragment unlocks the ability to meditate, which restores emotional balance faster than any potion.",Empathy / Nuance
GF-033,Weapon Maker,Village NPC,Various,Fragment of Defensive Pragmatism,Resolve +15,"A pragmatic weapon maker teaches the player that defense is love—protecting others through skill. This fragment opens weapon crafting and upgrades tied to helping others.",Resolve / Authority
GF-034,Sage (Female Archetype),Village NPC,Mountain,Fragment of Interpretive Wisdom,Memory +15,"A female sage interprets glyphs for the player, revealing hidden meanings. This fragment unlocks glyph lore entries and teaches the player deeper lore about emotional systems.",Memory / Nuance
GF-035,Healer (Female Archetype),Village NPC,Various,Fragment of Communal Health,Empathy +20,"A shrine healer teaches the player herbal medicine and emotional first aid. This fragment opens the healing minigame and makes potions more effective.",Empathy / Trust
GF-036,Grizzled Crone,Village NPC,Various,Fragment of Unvarnished Sight,Skepticism +20,"The Grizzled Crone speaks truths others avoid. Her cynicism isn't cruelty; it's clarity born from survival. This fragment teaches the player to trust skepticism and rewards with the Crone's warnings about dangerous encounters.",Skepticism / Memory
