phrase,lemmas,pos,example,source
in a,in a,"ADP,PRON",A woman suffering from post-partum depression could feel less guilty and more supported by being in a group with similar women.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
all,all,PRON,"For example, a mother’s depression, teen daughter’s eating disorder, or father’s alcohol dependence could affect all members of the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
https://openstax.org/books/psychology-2e/pages/1-introduction,https://openstax.org/books/psychology-2e/pages/1-introduction,NOUN,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
book,book,PROPN,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
learning,learn,VERB,"16.3 Treatment Modalities
Learning Objectives
Individual Therapy
Group Therapy
Couples Therapy
Family Therapy
Link to Learning
Our mission is to improve educational access and learning for everyone.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
access,access,NOUN,"16.3 Treatment Modalities
Learning Objectives
Individual Therapy
Group Therapy
Couples Therapy
Family Therapy
Link to Learning
Our mission is to improve educational access and learning for everyone.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapist,therapist,NOUN,"The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a clinician,a clinician,"DET,NOUN","A client might see a clinician for only a few sessions, or the client may attend individual therapy sessions for a year or longer.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
members,member,NOUN,"One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
cancer,cancer,NOUN,"For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
what,what,PRON,"For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
problem,problem,NOUN,"The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
several,several,ADJ,"There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
on,on,ADP,"In individual therapy , also known as individual psychotherapy or individual counseling, the client and clinician meet one-on-one (usually from 45 minutes to 1 hour).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
time,time,NOUN,The amount of time spent in therapy depends on the needs of the client as well as her personal goals.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
it,it,PRON,"When children are placed in group therapy, it is particularly important to match clients for age and problems.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the group,the group,"DET,NOUN","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
that,that,SCONJ,"One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
of group,of group,"ADP,NOUN","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapy is,therapy be,"NOUN,AUX","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
of group therapy,of group therapy,"ADP,NOUN,NOUN","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a group,a group,"DET,NOUN",A woman suffering from post-partum depression could feel less guilty and more supported by being in a group with similar women.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
types,type,NOUN,"For those with some types of problems, such as sexual abusers, group therapy is the recommended treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
group treatment,group treatment,"NOUN,NOUN","Group treatment for this population is considered to have several benefits:
Group treatment is more economical than individual, couples, or family therapy.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
this,this,PRON,"Group treatment for this population is considered to have several benefits:
Group treatment is more economical than individual, couples, or family therapy.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
example,example,NOUN,"For example, a group for children whose parents have cancer might discuss in depth what cancer is, types of treatment for cancer, and the side effects of treatments, such as hair loss.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
school,school,NOUN,"Often, group therapy sessions with children take place in school.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
them,they,PRON,Couples therapy involves two people in an intimate relationship who are having difficulties and are trying to resolve them ( Figure 16.17 ).,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
all members,all member,"DET,NOUN","For example, a mother’s depression, teen daughter’s eating disorder, or father’s alcohol dependence could affect all members of the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
in the,in the,"ADP,PRON","The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the nuclear family,the nuclear family,"DET,ADJ,NOUN","With family therapy, the nuclear family (i.e., parents and children) or the nuclear family plus whoever lives in the household (e.g., grandparent) come into treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the boundaries,the boundary,"DET,NOUN","In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
part,part,NOUN,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
this book,this book,"DET,NOUN","Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the following attribution,the follow attribution,"DET,VERB,NOUN","Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
authors,author,NOUN,"Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
rose m. spielman,rise m. spielman,"VERB,PROPN,NOUN","Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
william j. jenkins,william j. jenkins,"PROPN,PROPN,PROPN","Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
openstax book title,openstax book title,"NOUN,NOUN,NOUN","Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
apr,apr,VERB,"Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
2020 location,2020 location,"NUM,NOUN","Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
texas book url,texas book url,"PROPN,PROPN,PROPN","Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
https://openstax.org/books/psychology-2e/pages/1-introduction section url,https://openstax.org/books/psychology-2e/pages/1-introduction section url,"NOUN,NOUN,NOUN","Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalitie,NOUN,"Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
url,url,NOUN,"Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett Publisher/website: OpenStax Book title: Psychology 2e Publication date: Apr 22, 2020 Location: Houston, Texas Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Authors: Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett
Publisher/website: OpenStax
Book title: Psychology 2e
Publication date: Apr 22, 2020
Location: Houston, Texas
Book URL: https://openstax.org/books/psychology-2e/pages/1-introduction
Section URL: https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
Contact Us
Support Center
FAQ
Press
Newsletter
Careers
Accessibility Statement
Terms of Use
Licensing
Privacy Policy",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
modalities,modality,NOUN,"16.3 Treatment Modalities
Learning Objectives
Individual Therapy
Group Therapy
Couples Therapy
Family Therapy
Link to Learning
Our mission is to improve educational access and learning for everyone.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
specific,specific,ADJ,"The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
such,such,ADJ,"The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
support,support,VERB,"The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
client ’s,client ’s,"NOUN,PUNCT",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
such as,such as,"ADJ,ADP","The therapist gathers specific information to address the client’s immediate needs, such as the presenting problem, the client’s support system, and insurance status.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
there,there,PRON,"There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
figure,figure,NOUN,"There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
there are,there be,"PRON,VERB","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
of treatment,of treatment,"ADP,NOUN","There are several different modalities of treatment ( Figure 16.14 ): Individual therapy, family therapy, couples therapy, and group therapy are the most common.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
counseling,counseling,NOUN,"In individual therapy , also known as individual psychotherapy or individual counseling, the client and clinician meet one-on-one (usually from 45 minutes to 1 hour).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
from,from,ADP,"In individual therapy , also known as individual psychotherapy or individual counseling, the client and clinician meet one-on-one (usually from 45 minutes to 1 hour).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a client,a client,"DET,NOUN","A client might see a clinician for only a few sessions, or the client may attend individual therapy sessions for a year or longer.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
might,might,AUX,"A client might see a clinician for only a few sessions, or the client may attend individual therapy sessions for a year or longer.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
sessions,session,NOUN,"A client might see a clinician for only a few sessions, or the client may attend individual therapy sessions for a year or longer.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
attend,attend,VERB,"A client might see a clinician for only a few sessions, or the client may attend individual therapy sessions for a year or longer.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
together,together,ADV,"In group therapy , a clinician meets together with several clients with similar problems ( Figure 16.16 ).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
clients,client,NOUN,"In group therapy , a clinician meets together with several clients with similar problems ( Figure 16.16 ).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
can,can,AUX,"One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
members of,member of,"NOUN,ADP","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
group therapy is,group therapy be,"NOUN,NOUN,AUX","One benefit of group therapy is that it can help decrease a client’s shame and isolation about a problem while offering needed support, both from the therapist and other members of the group (American Psychological Association, 2014).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
